date,price,company,sector
2018-09-10,112.26,MSFT,technology
2018-08-10,110.85,MSFT,technology
2018-05-10,112.13,MSFT,technology
2018-04-10,112.79,MSFT,technology
2018-03-10,115.17,MSFT,technology
2018-02-10,115.15,MSFT,technology
2018-01-10,115.61,MSFT,technology
2018-09-28,114.37,MSFT,technology
2018-09-27,114.41,MSFT,technology
2018-09-26,113.98,MSFT,technology
2018-09-25,114.45,MSFT,technology
2018-09-24,114.67,MSFT,technology
2018-09-21,114.26,MSFT,technology
2018-09-20,113.57,MSFT,technology
2018-09-19,111.7,MSFT,technology
2018-09-18,113.21,MSFT,technology
2018-09-17,112.14,MSFT,technology
2018-09-14,113.37,MSFT,technology
2018-09-13,112.91,MSFT,technology
2018-12-09,111.71,MSFT,technology
2018-11-09,111.24,MSFT,technology
2018-10-09,109.38,MSFT,technology
2018-07-09,108.21,MSFT,technology
2018-06-09,108.74,MSFT,technology
2018-05-09,108.49,MSFT,technology
2018-04-09,111.71,MSFT,technology
2018-08-31,112.33,MSFT,technology
2018-08-30,111.95,MSFT,technology
2018-08-29,112.02,MSFT,technology
2018-08-28,110.26,MSFT,technology
2018-08-27,109.6,MSFT,technology
2018-08-24,108.4,MSFT,technology
2018-08-23,107.56,MSFT,technology
2018-08-22,107.06,MSFT,technology
2018-08-21,105.98,MSFT,technology
2018-08-20,106.87,MSFT,technology
2018-08-17,107.58,MSFT,technology
2018-08-16,107.64,MSFT,technology
2018-08-15,107.66,MSFT,technology
2018-08-14,109.56,MSFT,technology
2018-08-13,108.21,MSFT,technology
2018-10-08,109.0,MSFT,technology
2018-09-08,109.67,MSFT,technology
2018-08-08,109.49,MSFT,technology
2018-07-08,108.88,MSFT,technology
2018-06-08,108.13,MSFT,technology
2018-03-08,108.04,MSFT,technology
2018-02-08,107.57,MSFT,technology
2018-01-08,106.28,MSFT,technology
2018-07-31,106.08,MSFT,technology
2018-07-30,105.37,MSFT,technology
2018-07-27,107.68,MSFT,technology
2018-07-26,109.62,MSFT,technology
2018-07-25,110.83,MSFT,technology
2018-07-24,107.66,MSFT,technology
2018-07-23,107.97,MSFT,technology
2018-07-20,106.27,MSFT,technology
2018-07-19,104.4,MSFT,technology
2018-07-18,105.12,MSFT,technology
2018-07-17,105.95,MSFT,technology
2018-07-16,104.91,MSFT,technology
2018-07-13,105.43,MSFT,technology
2018-12-07,104.19,MSFT,technology
2018-11-07,101.98,MSFT,technology
2018-10-07,102.12,MSFT,technology
2018-09-07,101.85,MSFT,technology
2018-06-07,101.16,MSFT,technology
2018-05-07,99.76,MSFT,technology
2018-03-07,99.05,MSFT,technology
2018-02-07,100.01,MSFT,technology
2018-06-29,98.61,MSFT,technology
2018-06-28,98.63,MSFT,technology
2018-06-27,97.54,MSFT,technology
2018-06-26,99.08,MSFT,technology
2018-06-25,98.39,MSFT,technology
2018-06-22,100.41,MSFT,technology
2018-06-21,101.14,MSFT,technology
2018-06-20,101.87,MSFT,technology
2018-06-19,100.86,MSFT,technology
2018-06-18,100.86,MSFT,technology
2018-06-15,100.13,MSFT,technology
2018-06-14,101.42,MSFT,technology
2018-06-13,100.85,MSFT,technology
2018-12-06,101.31,MSFT,technology
2018-11-06,101.05,MSFT,technology
2018-08-06,101.63,MSFT,technology
2018-07-06,100.88,MSFT,technology
2018-06-06,102.49,MSFT,technology
2018-05-06,102.19,MSFT,technology
2018-04-06,101.67,MSFT,technology
2018-01-06,100.79,MSFT,technology
2018-05-31,98.84,MSFT,technology
2018-05-30,98.95,MSFT,technology
2018-05-29,98.01,MSFT,technology
2018-05-25,98.36,MSFT,technology
2018-05-24,98.31,MSFT,technology
2018-05-23,98.66,MSFT,technology
2018-05-22,97.5,MSFT,technology
2018-05-21,97.6,MSFT,technology
2018-05-18,96.36,MSFT,technology
2018-05-17,96.18,MSFT,technology
2018-05-16,97.15,MSFT,technology
2018-05-15,97.32,MSFT,technology
2018-05-14,98.03,MSFT,technology
2018-11-05,97.7,MSFT,technology
2018-10-05,97.91,MSFT,technology
2018-09-05,96.94,MSFT,technology
2018-08-05,95.81,MSFT,technology
2018-07-05,96.22,MSFT,technology
2018-04-05,95.16,MSFT,technology
2018-03-05,94.07,MSFT,technology
2018-02-05,93.51,MSFT,technology
2018-01-05,95.0,MSFT,technology
2018-04-30,93.52,MSFT,technology
2018-04-27,95.82,MSFT,technology
2018-04-26,94.26,MSFT,technology
2018-04-25,92.31,MSFT,technology
2018-04-24,93.12,MSFT,technology
2018-04-23,95.35,MSFT,technology
2018-04-20,95.0,MSFT,technology
2018-04-19,96.11,MSFT,technology
2018-04-18,96.44,MSFT,technology
2018-04-17,96.07,MSFT,technology
2018-04-16,94.17,MSFT,technology
2018-04-13,93.08,MSFT,technology
2018-12-04,93.58,MSFT,technology
2018-11-04,91.86,MSFT,technology
2018-10-04,92.88,MSFT,technology
2018-09-04,90.77,MSFT,technology
2018-06-04,90.23,MSFT,technology
2018-05-04,92.38,MSFT,technology
2018-04-04,92.33,MSFT,technology
2018-03-04,89.71,MSFT,technology
2018-02-04,88.52,MSFT,technology
2018-03-29,91.27,MSFT,technology
2018-03-28,89.39,MSFT,technology
2018-03-27,89.47,MSFT,technology
2018-03-26,93.78,MSFT,technology
2018-03-23,87.18,MSFT,technology
2018-03-22,89.79,MSFT,technology
2018-03-21,92.48,MSFT,technology
2018-03-20,93.13,MSFT,technology
2018-03-19,92.89,MSFT,technology
2018-03-16,94.6,MSFT,technology
2018-03-15,94.18,MSFT,technology
2018-03-14,93.85,MSFT,technology
2018-03-13,94.41,MSFT,technology
2018-12-03,96.77,MSFT,technology
2018-09-03,96.54,MSFT,technology
2018-08-03,94.43,MSFT,technology
2018-07-03,93.86,MSFT,technology
2018-06-03,93.32,MSFT,technology
2018-05-03,93.64,MSFT,technology
2018-02-03,93.05,MSFT,technology
2018-01-03,92.85,MSFT,technology
2018-02-28,93.77,MSFT,technology
2018-02-27,94.2,MSFT,technology
2018-02-26,95.42,MSFT,technology
2018-02-23,94.06,MSFT,technology
2018-02-22,91.73,MSFT,technology
2018-02-21,91.49,MSFT,technology
2018-02-20,92.72,MSFT,technology
2018-02-16,92.0,MSFT,technology
2018-02-15,92.66,MSFT,technology
2018-02-14,90.81,MSFT,technology
2018-02-13,89.83,MSFT,technology
2018-12-02,89.13,MSFT,technology
2018-09-02,88.18,MSFT,technology
2018-08-02,85.01,MSFT,technology
2018-07-02,89.61,MSFT,technology
2018-06-02,91.33,MSFT,technology
2018-05-02,88.0,MSFT,technology
2018-02-02,91.78,MSFT,technology
2018-01-02,94.26,MSFT,technology
2018-01-31,95.01,MSFT,technology
2018-01-30,92.74,MSFT,technology
2018-01-29,93.92,MSFT,technology
2018-01-26,94.06,MSFT,technology
2018-01-25,92.33,MSFT,technology
2018-01-24,91.82,MSFT,technology
2018-01-23,91.9,MSFT,technology
2018-01-22,91.61,MSFT,technology
2018-01-19,90.0,MSFT,technology
2018-01-18,90.1,MSFT,technology
2018-01-17,90.14,MSFT,technology
2018-01-16,88.35,MSFT,technology
2018-12-01,89.6,MSFT,technology
2018-11-01,88.08,MSFT,technology
2018-10-01,87.82,MSFT,technology
2018-09-01,88.22,MSFT,technology
2018-08-01,88.28,MSFT,technology
2018-05-01,88.19,MSFT,technology
2018-04-01,87.11,MSFT,technology
2018-03-01,86.35,MSFT,technology
2018-02-01,85.95,MSFT,technology
2017-12-29,85.54,MSFT,technology
2017-12-28,85.72,MSFT,technology
2017-12-27,85.71,MSFT,technology
2017-12-26,85.4,MSFT,technology
2017-12-22,85.51,MSFT,technology
2017-12-21,85.5,MSFT,technology
